Fecha,Valor,Clase,Dia,Semana,Mes,Ano,DiaString
2017-01-01,0.0,Real,1,1,1,2017,Domingo
2017-01-02,45.0,Real,2,1,1,2017,Lunes
2017-01-03,116.0,Real,3,1,1,2017,Martes
2017-01-04,232.0,Real,4,1,1,2017,Miércoles
2017-01-05,455.0,Real,5,1,1,2017,Jueves
2017-01-06,776.0,Real,6,1,1,2017,Viernes
2017-01-07,192.0,Real,7,1,1,2017,Sábado
2017-01-08,0.0,Real,8,2,1,2017,Domingo
2017-01-09,0.0,Real,9,2,1,2017,Lunes
2017-01-10,609.0,Real,10,2,1,2017,Martes
2017-01-11,727.0,Real,11,2,1,2017,Miércoles
2017-01-12,955.0,Real,12,2,1,2017,Jueves
2017-01-13,1110.0,Real,13,2,1,2017,Viernes
2017-01-14,237.0,Real,14,2,1,2017,Sábado
2017-01-15,0.0,Real,15,3,1,2017,Domingo
2017-01-16,853.0,Real,16,3,1,2017,Lunes
2017-01-17,927.0,Real,17,3,1,2017,Martes
2017-01-18,868.0,Real,18,3,1,2017,Miércoles
2017-01-19,937.0,Real,19,3,1,2017,Jueves
2017-01-20,850.0,Real,20,3,1,2017,Viernes
2017-01-21,208.0,Real,21,3,1,2017,Sábado
2017-01-22,0.0,Real,22,4,1,2017,Domingo
2017-01-23,666.0,Real,23,4,1,2017,Lunes
2017-01-24,842.0,Real,24,4,1,2017,Martes
2017-01-25,798.0,Real,25,4,1,2017,Miércoles
2017-01-26,950.0,Real,26,4,1,2017,Jueves
2017-01-27,923.0,Real,27,4,1,2017,Viernes
2017-01-28,244.0,Real,28,4,1,2017,Sábado
2017-01-29,0.0,Real,29,5,1,2017,Domingo
2017-01-30,941.0,Real,30,5,1,2017,Lunes
2017-01-31,1846.0,Real,31,5,1,2017,Martes
2017-02-01,583.0,Real,1,5,2,2017,Miércoles
2017-02-02,723.0,Real,2,5,2,2017,Jueves
2017-02-03,742.0,Real,3,5,2,2017,Viernes
2017-02-04,211.0,Real,4,5,2,2017,Sábado
2017-02-05,0.0,Real,5,6,2,2017,Domingo
2017-02-06,590.0,Real,6,6,2,2017,Lunes
2017-02-07,781.0,Real,7,6,2,2017,Martes
2017-02-08,833.0,Real,8,6,2,2017,Miércoles
2017-02-09,896.0,Real,9,6,2,2017,Jueves
2017-02-10,849.0,Real,10,6,2,2017,Viernes
2017-02-11,206.0,Real,11,6,2,2017,Sábado
2017-02-12,3.0,Real,12,7,2,2017,Domingo
2017-02-13,735.0,Real,13,7,2,2017,Lunes
2017-02-14,810.0,Real,14,7,2,2017,Martes
2017-02-15,820.0,Real,15,7,2,2017,Miércoles
2017-02-16,808.0,Real,16,7,2,2017,Jueves
2017-02-17,767.0,Real,17,7,2,2017,Viernes
2017-02-18,200.0,Real,18,7,2,2017,Sábado
2017-02-19,0.0,Real,19,8,2,2017,Domingo
2017-02-20,633.0,Real,20,8,2,2017,Lunes
2017-02-21,845.0,Real,21,8,2,2017,Martes
2017-02-22,911.0,Real,22,8,2,2017,Miércoles
2017-02-23,818.0,Real,23,8,2,2017,Jueves
2017-02-24,1052.0,Real,24,8,2,2017,Viernes
2017-02-25,275.0,Real,25,8,2,2017,Sábado
2017-02-26,0.0,Real,26,9,2,2017,Domingo
2017-02-27,1014.0,Real,27,9,2,2017,Lunes
2017-02-28,1931.0,Real,28,9,2,2017,Martes
2017-03-01,485.0,Real,1,9,3,2017,Miércoles
2017-03-02,708.0,Real,2,9,3,2017,Jueves
2017-03-03,697.0,Real,3,9,3,2017,Viernes
2017-03-04,164.0,Real,4,9,3,2017,Sábado
2017-03-05,0.0,Real,5,10,3,2017,Domingo
2017-03-06,680.0,Real,6,10,3,2017,Lunes
2017-03-07,826.0,Real,7,10,3,2017,Martes
2017-03-08,866.0,Real,8,10,3,2017,Miércoles
2017-03-09,884.0,Real,9,10,3,2017,Jueves
2017-03-10,888.0,Real,10,10,3,2017,Viernes
2017-03-11,259.0,Real,11,10,3,2017,Sábado
2017-03-12,1.0,Real,12,11,3,2017,Domingo
2017-03-13,714.0,Real,13,11,3,2017,Lunes
2017-03-14,893.0,Real,14,11,3,2017,Martes
2017-03-15,922.0,Real,15,11,3,2017,Miércoles
2017-03-16,981.0,Real,16,11,3,2017,Jueves
2017-03-17,851.0,Real,17,11,3,2017,Viernes
2017-03-18,143.0,Real,18,11,3,2017,Sábado
2017-03-19,0.0,Real,19,12,3,2017,Domingo
2017-03-20,0.0,Real,20,12,3,2017,Lunes
2017-03-21,616.0,Real,21,12,3,2017,Martes
2017-03-22,840.0,Real,22,12,3,2017,Miércoles
2017-03-23,908.0,Real,23,12,3,2017,Jueves
2017-03-24,1007.0,Real,24,12,3,2017,Viernes
2017-03-25,302.0,Real,25,12,3,2017,Sábado
2017-03-26,3.0,Real,26,13,3,2017,Domingo
2017-03-27,720.0,Real,27,13,3,2017,Lunes
2017-03-28,1065.0,Real,28,13,3,2017,Martes
2017-03-29,1210.0,Real,29,13,3,2017,Miércoles
2017-03-30,1475.0,Real,30,13,3,2017,Jueves
2017-03-31,2092.0,Real,31,13,3,2017,Viernes
2017-04-01,130.0,Real,1,13,4,2017,Sábado
2017-04-02,1.0,Real,2,14,4,2017,Domingo
2017-04-03,393.0,Real,3,14,4,2017,Lunes
2017-04-04,642.0,Real,4,14,4,2017,Martes
2017-04-05,808.0,Real,5,14,4,2017,Miércoles
2017-04-06,964.0,Real,6,14,4,2017,Jueves
2017-04-07,974.0,Real,7,14,4,2017,Viernes
2017-04-08,271.0,Real,8,14,4,2017,Sábado
2017-04-09,0.0,Real,9,15,4,2017,Domingo
2017-04-10,663.0,Real,10,15,4,2017,Lunes
2017-04-11,957.0,Real,11,15,4,2017,Martes
2017-04-12,646.0,Real,12,15,4,2017,Miércoles
2017-04-13,0.0,Real,13,15,4,2017,Jueves
2017-04-14,0.0,Real,14,15,4,2017,Viernes
2017-04-15,0.0,Real,15,15,4,2017,Sábado
2017-04-16,0.0,Real,16,16,4,2017,Domingo
2017-04-17,642.0,Real,17,16,4,2017,Lunes
2017-04-18,691.0,Real,18,16,4,2017,Martes
2017-04-19,803.0,Real,19,16,4,2017,Miércoles
2017-04-20,778.0,Real,20,16,4,2017,Jueves
2017-04-21,891.0,Real,21,16,4,2017,Viernes
2017-04-22,204.0,Real,22,16,4,2017,Sábado
2017-04-23,0.0,Real,23,17,4,2017,Domingo
2017-04-24,672.0,Real,24,17,4,2017,Lunes
2017-04-25,1015.0,Real,25,17,4,2017,Martes
2017-04-26,1100.0,Real,26,17,4,2017,Miércoles
2017-04-27,1265.0,Real,27,17,4,2017,Jueves
2017-04-28,1781.0,Real,28,17,4,2017,Viernes
2017-04-29,881.0,Real,29,17,4,2017,Sábado
2017-04-30,12.0,Real,30,18,4,2017,Domingo
2017-05-01,0.0,Real,1,18,5,2017,Lunes
2017-05-02,378.0,Real,2,18,5,2017,Martes
2017-05-03,596.0,Real,3,18,5,2017,Miércoles
2017-05-04,784.0,Real,4,18,5,2017,Jueves
2017-05-05,869.0,Real,5,18,5,2017,Viernes
2017-05-06,199.0,Real,6,18,5,2017,Sábado
2017-05-07,0.0,Real,7,19,5,2017,Domingo
2017-05-08,637.0,Real,8,19,5,2017,Lunes
2017-05-09,778.0,Real,9,19,5,2017,Martes
2017-05-10,931.0,Real,10,19,5,2017,Miércoles
2017-05-11,880.0,Real,11,19,5,2017,Jueves
2017-05-12,855.0,Real,12,19,5,2017,Viernes
2017-05-13,225.0,Real,13,19,5,2017,Sábado
2017-05-14,0.0,Real,14,20,5,2017,Domingo
2017-05-15,629.0,Real,15,20,5,2017,Lunes
2017-05-16,770.0,Real,16,20,5,2017,Martes
2017-05-17,812.0,Real,17,20,5,2017,Miércoles
2017-05-18,904.0,Real,18,20,5,2017,Jueves
2017-05-19,878.0,Real,19,20,5,2017,Viernes
2017-05-20,281.0,Real,20,20,5,2017,Sábado
2017-05-21,0.0,Real,21,21,5,2017,Domingo
2017-05-22,632.0,Real,22,21,5,2017,Lunes
2017-05-23,912.0,Real,23,21,5,2017,Martes
2017-05-24,996.0,Real,24,21,5,2017,Miércoles
2017-05-25,1057.0,Real,25,21,5,2017,Jueves
2017-05-26,1105.0,Real,26,21,5,2017,Viernes
2017-05-27,431.0,Real,27,21,5,2017,Sábado
2017-05-28,0.0,Real,28,22,5,2017,Domingo
2017-05-29,0.0,Real,29,22,5,2017,Lunes
