"","Fecha","Prediccion"
"1",2012-01-01,0
"2",2012-01-02,597
"3",2012-01-03,738
"4",2012-01-04,839
"5",2012-01-05,849
"6",2012-01-06,880
"7",2012-01-07,258
"8",2012-01-08,5
"9",2012-01-09,13
"10",2012-01-10,824
"11",2012-01-11,936
"12",2012-01-12,948
"13",2012-01-13,983
"14",2012-01-14,288
"15",2012-01-15,6
"16",2012-01-16,743
"17",2012-01-17,920
"18",2012-01-18,1045
"19",2012-01-19,1058
"20",2012-01-20,1097
"21",2012-01-21,322
"22",2012-01-22,7
"23",2012-01-23,830
"24",2012-01-24,1026
"25",2012-01-25,1166
"26",2012-01-26,1181
"27",2012-01-27,1224
"28",2012-01-28,359
"29",2012-01-29,7
"30",2012-01-30,926
"31",2012-01-31,1146
"32",2012-02-01,1007
"33",2012-02-02,1020
"34",2012-02-03,1057
"35",2012-02-04,310
"36",2012-02-05,6
"37",2012-02-06,800
"38",2012-02-07,989
"39",2012-02-08,1124
"40",2012-02-09,1138
"41",2012-02-10,1180
"42",2012-02-11,346
"43",2012-02-12,7
"44",2012-02-13,893
"45",2012-02-14,1104
"46",2012-02-15,1254
"47",2012-02-16,1270
"48",2012-02-17,1317
"49",2012-02-18,386
"50",2012-02-19,8
"51",2012-02-20,996
"52",2012-02-21,1232
"53",2012-02-22,1400
"54",2012-02-23,1418
"55",2012-02-24,1469
"56",2012-02-25,431
"57",2012-02-26,9
"58",2012-02-27,1112
"59",2012-02-28,1375
"60",2012-02-29,1562
"61",2012-03-01,1050
"62",2012-03-02,1088
"63",2012-03-03,319
"64",2012-03-04,7
"65",2012-03-05,823
"66",2012-03-06,1018
"67",2012-03-07,1157
"68",2012-03-08,1172
"69",2012-03-09,1215
"70",2012-03-10,356
"71",2012-03-11,7
"72",2012-03-12,919
"73",2012-03-13,1137
"74",2012-03-14,1291
"75",2012-03-15,1308
"76",2012-03-16,1356
"77",2012-03-17,398
"78",2012-03-18,8
"79",2012-03-19,21
"80",2012-03-20,1269
"81",2012-03-21,1441
"82",2012-03-22,1460
"83",2012-03-23,1513
"84",2012-03-24,444
"85",2012-03-25,9
"86",2012-03-26,1145
"87",2012-03-27,1416
"88",2012-03-28,1609
"89",2012-03-29,1629
"90",2012-03-30,1689
"91",2012-03-31,495
"92",2012-04-01,6
"93",2012-04-02,791
"94",2012-04-03,978
"95",2012-04-04,1112
"96",2012-04-05,23
"97",2012-04-06,23
"98",2012-04-07,342
"99",2012-04-08,7
"100",2012-04-09,883
"101",2012-04-10,1092
"102",2012-04-11,1241
"103",2012-04-12,1256
"104",2012-04-13,1302
"105",2012-04-14,382
"106",2012-04-15,8
"107",2012-04-16,985
"108",2012-04-17,1219
"109",2012-04-18,1385
"110",2012-04-19,1402
"111",2012-04-20,1453
"112",2012-04-21,426
"113",2012-04-22,9
"114",2012-04-23,1100
"115",2012-04-24,1360
