"Fecha","Prediccion"
2012-01-01,0
2012-01-02,597
2012-01-03,738
2012-01-04,839
2012-01-05,849
2012-01-06,880
2012-01-07,258
2012-01-08,5
2012-01-09,13
2012-01-10,824
2012-01-11,936
2012-01-12,948
2012-01-13,983
2012-01-14,288
2012-01-15,6
2012-01-16,743
2012-01-17,920
2012-01-18,1045
2012-01-19,1058
2012-01-20,1097
2012-01-21,322
2012-01-22,7
2012-01-23,830
2012-01-24,1026
2012-01-25,1166
2012-01-26,1181
2012-01-27,1224
2012-01-28,359
2012-01-29,7
2012-01-30,926
2012-01-31,1146
2012-02-01,1007
2012-02-02,1020
2012-02-03,1057
2012-02-04,310
2012-02-05,6
2012-02-06,800
2012-02-07,989
2012-02-08,1124
2012-02-09,1138
2012-02-10,1180
2012-02-11,346
2012-02-12,7
2012-02-13,893
2012-02-14,1104
2012-02-15,1254
2012-02-16,1270
2012-02-17,1317
2012-02-18,386
2012-02-19,8
2012-02-20,996
2012-02-21,1232
2012-02-22,1400
2012-02-23,1418
2012-02-24,1469
2012-02-25,431
2012-02-26,9
2012-02-27,1112
2012-02-28,1375
2012-02-29,1562
2012-03-01,1050
2012-03-02,1088
2012-03-03,319
2012-03-04,7
2012-03-05,823
2012-03-06,1018
2012-03-07,1157
2012-03-08,1172
2012-03-09,1215
2012-03-10,356
2012-03-11,7
2012-03-12,919
2012-03-13,1137
2012-03-14,1291
2012-03-15,1308
2012-03-16,1356
2012-03-17,398
2012-03-18,8
2012-03-19,21
2012-03-20,1269
2012-03-21,1441
2012-03-22,1460
2012-03-23,1513
2012-03-24,444
2012-03-25,9
2012-03-26,1145
2012-03-27,1416
2012-03-28,1609
2012-03-29,1629
2012-03-30,1689
2012-03-31,495
2012-04-01,6
2012-04-02,791
2012-04-03,978
2012-04-04,1112
2012-04-05,23
2012-04-06,23
2012-04-07,342
2012-04-08,7
2012-04-09,883
2012-04-10,1092
2012-04-11,1241
2012-04-12,1256
2012-04-13,1302
2012-04-14,382
2012-04-15,8
2012-04-16,985
2012-04-17,1219
2012-04-18,1385
2012-04-19,1402
2012-04-20,1453
2012-04-21,426
2012-04-22,9
2012-04-23,1100
2012-04-24,1360
2012-04-25,1545
2012-04-26,1565
2012-04-27,1622
2012-04-28,476
2012-04-29,10
2012-04-30,1227
2012-05-01,18
2012-05-02,1015
2012-05-03,1027
2012-05-04,1065
2012-05-05,312
2012-05-06,6
2012-05-07,806
2012-05-08,997
2012-05-09,1132
2012-05-10,1147
2012-05-11,1189
2012-05-12,349
2012-05-13,7
2012-05-14,899
2012-05-15,1112
2012-05-16,1264
2012-05-17,1280
2012-05-18,1327
2012-05-19,389
2012-05-20,8
2012-05-21,20
2012-05-22,1242
2012-05-23,1411
2012-05-24,1429
2012-05-25,1481
2012-05-26,434
2012-05-27,9
2012-05-28,1120
2012-05-29,1386
2012-05-30,1575
2012-05-31,1595
2012-06-01,1060
2012-06-02,311
2012-06-03,6
2012-06-04,802
2012-06-05,992
2012-06-06,1127
2012-06-07,1141
2012-06-08,1183
2012-06-09,347
2012-06-10,7
2012-06-11,18
2012-06-12,1107
2012-06-13,1258
2012-06-14,1274
2012-06-15,1320
2012-06-16,387
2012-06-17,8
2012-06-18,20
2012-06-19,1236
2012-06-20,1404
2012-06-21,1422
2012-06-22,1474
2012-06-23,432
2012-06-24,9
2012-06-25,1115
2012-06-26,1379
2012-06-27,1567
2012-06-28,1587
2012-06-29,1645
2012-06-30,483
2012-07-01,6
2012-07-02,16
2012-07-03,986
2012-07-04,1121
2012-07-05,1135
2012-07-06,1176
2012-07-07,345
2012-07-08,7
2012-07-09,890
2012-07-10,1101
2012-07-11,1251
2012-07-12,1267
2012-07-13,1313
2012-07-14,385
2012-07-15,8
2012-07-16,993
2012-07-17,1229
2012-07-18,1396
2012-07-19,1414
2012-07-20,29
2012-07-21,430
2012-07-22,9
2012-07-23,1109
2012-07-24,1371
2012-07-25,1558
2012-07-26,1578
2012-07-27,1636
2012-07-28,480
2012-07-29,10
2012-07-30,1238
2012-07-31,1531
2012-08-01,1087
2012-08-02,1101
2012-08-03,1141
2012-08-04,335
2012-08-05,7
2012-08-06,864
2012-08-07,21
2012-08-08,1214
2012-08-09,1229
2012-08-10,1274
2012-08-11,374
2012-08-12,8
2012-08-13,964
2012-08-14,1192
2012-08-15,1354
2012-08-16,1372
2012-08-17,1422
2012-08-18,417
2012-08-19,9
2012-08-20,22
2012-08-21,1331
2012-08-22,1512
2012-08-23,1531
2012-08-24,1587
2012-08-25,466
2012-08-26,10
2012-08-27,1201
2012-08-28,1485
2012-08-29,1687
2012-08-30,1709
2012-08-31,1771
2012-09-01,316
2012-09-02,7
2012-09-03,816
2012-09-04,1009
2012-09-05,1147
2012-09-06,1161
2012-09-07,1204
2012-09-08,353
2012-09-09,7
2012-09-10,911
2012-09-11,1127
2012-09-12,1280
2012-09-13,1296
2012-09-14,1344
2012-09-15,394
2012-09-16,8
2012-09-17,1017
2012-09-18,1257
2012-09-19,1429
2012-09-20,1447
2012-09-21,1500
2012-09-22,440
2012-09-23,9
2012-09-24,1135
2012-09-25,1403
2012-09-26,1595
2012-09-27,1615
2012-09-28,1674
2012-09-29,491
2012-09-30,10
2012-10-01,758
2012-10-02,937
