"Fecha","Prediccion"
2018-01-01,8
2018-01-02,524
2018-01-03,595
2018-01-04,603
2018-01-05,625
2018-01-06,183
2018-01-07,3
2018-01-08,9
2018-01-09,585
2018-01-10,665
2018-01-11,673
2018-01-12,698
2018-01-13,205
2018-01-14,4
2018-01-15,528
2018-01-16,653
2018-01-17,742
2018-01-18,751
2018-01-19,779
2018-01-20,228
2018-01-21,4
2018-01-22,589
2018-01-23,729
2018-01-24,828
2018-01-25,838
2018-01-26,869
2018-01-27,255
2018-01-28,5
2018-01-29,657
2018-01-30,813
2018-01-31,924
2018-02-01,724
2018-02-02,750
2018-02-03,220
2018-02-04,4
2018-02-05,568
2018-02-06,702
2018-02-07,798
2018-02-08,808
2018-02-09,837
2018-02-10,246
2018-02-11,5
2018-02-12,634
2018-02-13,784
2018-02-14,890
2018-02-15,902
2018-02-16,935
2018-02-17,274
2018-02-18,5
2018-02-19,707
2018-02-20,875
2018-02-21,994
2018-02-22,1006
2018-02-23,1043
2018-02-24,306
2018-02-25,6
2018-02-26,789
2018-02-27,976
2018-02-28,1109
2018-03-01,745
2018-03-02,773
2018-03-03,227
2018-03-04,4
2018-03-05,585
2018-03-06,723
2018-03-07,821
2018-03-08,832
2018-03-09,862
2018-03-10,253
2018-03-11,5
2018-03-12,652
2018-03-13,807
2018-03-14,917
2018-03-15,928
2018-03-16,962
2018-03-17,282
2018-03-18,5
2018-03-19,15
2018-03-20,901
2018-03-21,1023
2018-03-22,1036
2018-03-23,1074
2018-03-24,315
2018-03-25,6
2018-03-26,813
2018-03-27,1005
2018-03-28,1142
2018-03-29,23
2018-03-30,24
2018-03-31,352
2018-04-01,4
2018-04-02,561
2018-04-03,694
2018-04-04,789
2018-04-05,799
2018-04-06,828
2018-04-07,243
2018-04-08,5
2018-04-09,627
2018-04-10,775
2018-04-11,881
2018-04-12,892
2018-04-13,924
2018-04-14,271
2018-04-15,5
2018-04-16,699
2018-04-17,865
2018-04-18,983
2018-04-19,995
2018-04-20,1032
2018-04-21,303
2018-04-22,6
2018-04-23,781
2018-04-24,966
2018-04-25,1097
2018-04-26,1111
2018-04-27,1152
2018-04-28,338
2018-04-29,6
2018-04-30,871
2018-05-01,13
2018-05-02,720
2018-05-03,729
2018-05-04,756
2018-05-05,222
2018-05-06,4
2018-05-07,572
2018-05-08,708
2018-05-09,804
2018-05-10,814
2018-05-11,844
2018-05-12,248
2018-05-13,5
2018-05-14,13
2018-05-15,790
2018-05-16,897
2018-05-17,909
2018-05-18,942
2018-05-19,276
2018-05-20,5
2018-05-21,713
2018-05-22,881
2018-05-23,1001
2018-05-24,1014
2018-05-25,1051
2018-05-26,308
2018-05-27,6
2018-05-28,795
2018-05-29,984
2018-05-30,1118
2018-05-31,1132
2018-06-01,752
2018-06-02,221
2018-06-03,4
2018-06-04,11
2018-06-05,704
2018-06-06,800
2018-06-07,810
2018-06-08,840
2018-06-09,246
2018-06-10,5
2018-06-11,13
2018-06-12,786
2018-06-13,893
2018-06-14,904
2018-06-15,937
2018-06-16,275
2018-06-17,5
2018-06-18,709
2018-06-19,877
2018-06-20,997
2018-06-21,1009
2018-06-22,1046
2018-06-23,307
2018-06-24,6
2018-06-25,792
2018-06-26,979
2018-06-27,1112
2018-06-28,1127
2018-06-29,1168
2018-06-30,343
