"","Fecha","Valor","Clase","Dia","Semana","Mes","Ano"
"1",2012-01-01,0,"real",1,1,1,2012
"2",2012-01-02,188,"real",2,1,1,2012
"3",2012-01-03,482,"real",3,1,1,2012
"4",2012-01-04,927,"real",4,1,1,2012
"5",2012-01-05,1159,"real",5,1,1,2012
"6",2012-01-06,996,"real",6,1,1,2012
"7",2012-01-07,243,"real",7,1,1,2012
"8",2012-01-08,0,"real",1,2,1,2012
"9",2012-01-09,0,"real",2,2,1,2012
"10",2012-01-10,697,"real",3,2,1,2012
"11",2012-01-11,956,"real",4,2,1,2012
"12",2012-01-12,1001,"real",5,2,1,2012
"13",2012-01-13,1170,"real",6,2,1,2012
"14",2012-01-14,372,"real",7,2,1,2012
"15",2012-01-15,1,"real",1,3,1,2012
"16",2012-01-16,805,"real",2,3,1,2012
"17",2012-01-17,913,"real",3,3,1,2012
"18",2012-01-18,1049,"real",4,3,1,2012
"19",2012-01-19,979,"real",5,3,1,2012
"20",2012-01-20,1018,"real",6,3,1,2012
"21",2012-01-21,312,"real",7,3,1,2012
"22",2012-01-22,0,"real",1,4,1,2012
"23",2012-01-23,802,"real",2,4,1,2012
"24",2012-01-24,893,"real",3,4,1,2012
"25",2012-01-25,1030,"real",4,4,1,2012
"26",2012-01-26,1108,"real",5,4,1,2012
"27",2012-01-27,1049,"real",6,4,1,2012
"28",2012-01-28,369,"real",7,4,1,2012
"29",2012-01-29,2,"real",1,5,1,2012
"30",2012-01-30,823,"real",2,5,1,2012
"31",2012-01-31,1046,"real",3,5,1,2012
"32",2012-02-01,1142,"real",4,5,2,2012
"33",2012-02-02,1185,"real",5,5,2,2012
"34",2012-02-03,1295,"real",6,5,2,2012
"35",2012-02-04,344,"real",7,5,2,2012
"36",2012-02-05,0,"real",1,6,2,2012
"37",2012-02-06,853,"real",2,6,2,2012
"38",2012-02-07,1170,"real",3,6,2,2012
"39",2012-02-08,1177,"real",4,6,2,2012
"40",2012-02-09,1182,"real",5,6,2,2012
"41",2012-02-10,1191,"real",6,6,2,2012
"42",2012-02-11,411,"real",7,6,2,2012
"43",2012-02-12,1,"real",1,7,2,2012
"44",2012-02-13,881,"real",2,7,2,2012
"45",2012-02-14,1120,"real",3,7,2,2012
"46",2012-02-15,1126,"real",4,7,2,2012
"47",2012-02-16,1098,"real",5,7,2,2012
"48",2012-02-17,1243,"real",6,7,2,2012
"49",2012-02-18,309,"real",7,7,2,2012
"50",2012-02-19,0,"real",1,8,2,2012
"51",2012-02-20,733,"real",2,8,2,2012
"52",2012-02-21,994,"real",3,8,2,2012
"53",2012-02-22,1186,"real",4,8,2,2012
"54",2012-02-23,1247,"real",5,8,2,2012
"55",2012-02-24,1315,"real",6,8,2,2012
"56",2012-02-25,386,"real",7,8,2,2012
"57",2012-02-26,0,"real",1,9,2,2012
"58",2012-02-27,855,"real",2,9,2,2012
"59",2012-02-28,1239,"real",3,9,2,2012
"60",2012-02-29,1157,"real",4,9,2,2012
"61",2012-03-01,1201,"real",5,9,3,2012
"62",2012-03-02,1342,"real",6,9,3,2012
"63",2012-03-03,358,"real",7,9,3,2012
"64",2012-03-04,0,"real",1,10,3,2012
"65",2012-03-05,886,"real",2,10,3,2012
"66",2012-03-06,1209,"real",3,10,3,2012
"67",2012-03-07,1553,"real",4,10,3,2012
"68",2012-03-08,1340,"real",5,10,3,2012
"69",2012-03-09,1279,"real",6,10,3,2012
"70",2012-03-10,489,"real",7,10,3,2012
"71",2012-03-11,1,"real",1,11,3,2012
"72",2012-03-12,971,"real",2,11,3,2012
"73",2012-03-13,1305,"real",3,11,3,2012
"74",2012-03-14,1366,"real",4,11,3,2012
"75",2012-03-15,1357,"real",5,11,3,2012
"76",2012-03-16,1461,"real",6,11,3,2012
"77",2012-03-17,339,"real",7,11,3,2012
"78",2012-03-18,0,"real",1,12,3,2012
"79",2012-03-19,0,"real",2,12,3,2012
"80",2012-03-20,937,"real",3,12,3,2012
"81",2012-03-21,1247,"real",4,12,3,2012
"82",2012-03-22,1332,"real",5,12,3,2012
"83",2012-03-23,1479,"real",6,12,3,2012
"84",2012-03-24,139,"real",7,12,3,2012
"85",2012-03-25,32,"real",1,13,3,2012
"86",2012-03-26,1113,"real",2,13,3,2012
"87",2012-03-27,1163,"real",3,13,3,2012
"88",2012-03-28,1469,"real",4,13,3,2012
"89",2012-03-29,1559,"real",5,13,3,2012
"90",2012-03-30,1805,"real",6,13,3,2012
"91",2012-03-31,485,"real",7,13,3,2012
"92",2012-04-01,1,"real",1,14,4,2012
"93",2012-04-02,1128,"real",2,14,4,2012
"94",2012-04-03,1589,"real",3,14,4,2012
"95",2012-04-04,1182,"real",4,14,4,2012
"96",2012-04-05,1,"real",5,14,4,2012
"97",2012-04-06,0,"real",6,14,4,2012
"98",2012-04-07,1,"real",7,14,4,2012
"99",2012-04-08,0,"real",1,15,4,2012
"100",2012-04-09,770,"real",2,15,4,2012
"101",2012-04-10,1196,"real",3,15,4,2012
"102",2012-04-11,1467,"real",4,15,4,2012
"103",2012-04-12,1456,"real",5,15,4,2012
"104",2012-04-13,1369,"real",6,15,4,2012
"105",2012-04-14,422,"real",7,15,4,2012
"106",2012-04-15,0,"real",1,16,4,2012
"107",2012-04-16,795,"real",2,16,4,2012
"108",2012-04-17,1067,"real",3,16,4,2012
"109",2012-04-18,1360,"real",4,16,4,2012
"110",2012-04-19,1083,"real",5,16,4,2012
"111",2012-04-20,1443,"real",6,16,4,2012
"112",2012-04-21,310,"real",7,16,4,2012
"113",2012-04-22,0,"real",1,17,4,2012
"114",2012-04-23,965,"real",2,17,4,2012
"115",2012-04-24,1143,"real",3,17,4,2012
"116",2012-04-25,1361,"real",4,17,4,2012
"117",2012-04-26,1264,"real",5,17,4,2012
"118",2012-04-27,737,"real",6,17,4,2012
"119",2012-04-28,515,"real",7,17,4,2012
"120",2012-04-29,34,"real",1,18,4,2012
"121",2012-04-30,1286,"real",2,18,4,2012
"122",2012-05-01,3,"real",3,18,5,2012
"123",2012-05-02,965,"real",4,18,5,2012
"124",2012-05-03,1228,"real",5,18,5,2012
"125",2012-05-04,1349,"real",6,18,5,2012
"126",2012-05-05,375,"real",7,18,5,2012
"127",2012-05-06,0,"real",1,19,5,2012
"128",2012-05-07,985,"real",2,19,5,2012
"129",2012-05-08,1353,"real",3,19,5,2012
"130",2012-05-09,1426,"real",4,19,5,2012
"131",2012-05-10,1393,"real",5,19,5,2012
