Fecha,Valor,Clase,Dia,Semana,Mes,Ano,DiaString
2012-01-01,0.0,Real,1,1,1,2012,Domingo
2012-01-02,188.0,Real,2,1,1,2012,Lunes
2012-01-03,482.0,Real,3,1,1,2012,Martes
2012-01-04,927.0,Real,4,1,1,2012,Miércoles
2012-01-05,1159.0,Real,5,1,1,2012,Jueves
2012-01-06,996.0,Real,6,1,1,2012,Viernes
2012-01-07,243.0,Real,7,1,1,2012,Sábado
2012-01-08,0.0,Real,8,2,1,2012,Domingo
2012-01-09,0.0,Real,9,2,1,2012,Lunes
2012-01-10,697.0,Real,10,2,1,2012,Martes
2012-01-11,956.0,Real,11,2,1,2012,Miércoles
2012-01-12,1001.0,Real,12,2,1,2012,Jueves
2012-01-13,1170.0,Real,13,2,1,2012,Viernes
2012-01-14,372.0,Real,14,2,1,2012,Sábado
2012-01-15,1.0,Real,15,3,1,2012,Domingo
2012-01-16,805.0,Real,16,3,1,2012,Lunes
2012-01-17,913.0,Real,17,3,1,2012,Martes
2012-01-18,1049.0,Real,18,3,1,2012,Miércoles
2012-01-19,979.0,Real,19,3,1,2012,Jueves
2012-01-20,1018.0,Real,20,3,1,2012,Viernes
2012-01-21,312.0,Real,21,3,1,2012,Sábado
2012-01-22,0.0,Real,22,4,1,2012,Domingo
2012-01-23,802.0,Real,23,4,1,2012,Lunes
2012-01-24,893.0,Real,24,4,1,2012,Martes
2012-01-25,1030.0,Real,25,4,1,2012,Miércoles
2012-01-26,1108.0,Real,26,4,1,2012,Jueves
2012-01-27,1049.0,Real,27,4,1,2012,Viernes
2012-01-28,369.0,Real,28,4,1,2012,Sábado
2012-01-29,2.0,Real,29,5,1,2012,Domingo
2012-01-30,823.0,Real,30,5,1,2012,Lunes
2012-01-31,1046.0,Real,31,5,1,2012,Martes
2012-02-01,1142.0,Real,1,5,2,2012,Miércoles
2012-02-02,1185.0,Real,2,5,2,2012,Jueves
2012-02-03,1295.0,Real,3,5,2,2012,Viernes
2012-02-04,344.0,Real,4,5,2,2012,Sábado
2012-02-05,0.0,Real,5,6,2,2012,Domingo
2012-02-06,853.0,Real,6,6,2,2012,Lunes
2012-02-07,1170.0,Real,7,6,2,2012,Martes
2012-02-08,1177.0,Real,8,6,2,2012,Miércoles
2012-02-09,1182.0,Real,9,6,2,2012,Jueves
2012-02-10,1191.0,Real,10,6,2,2012,Viernes
2012-02-11,411.0,Real,11,6,2,2012,Sábado
2012-02-12,1.0,Real,12,7,2,2012,Domingo
2012-02-13,881.0,Real,13,7,2,2012,Lunes
2012-02-14,1120.0,Real,14,7,2,2012,Martes
2012-02-15,1126.0,Real,15,7,2,2012,Miércoles
2012-02-16,1098.0,Real,16,7,2,2012,Jueves
2012-02-17,1243.0,Real,17,7,2,2012,Viernes
2012-02-18,309.0,Real,18,7,2,2012,Sábado
2012-02-19,0.0,Real,19,8,2,2012,Domingo
2012-02-20,733.0,Real,20,8,2,2012,Lunes
2012-02-21,994.0,Real,21,8,2,2012,Martes
2012-02-22,1186.0,Real,22,8,2,2012,Miércoles
2012-02-23,1247.0,Real,23,8,2,2012,Jueves
2012-02-24,1315.0,Real,24,8,2,2012,Viernes
2012-02-25,386.0,Real,25,8,2,2012,Sábado
2012-02-26,0.0,Real,26,9,2,2012,Domingo
2012-02-27,855.0,Real,27,9,2,2012,Lunes
2012-02-28,1239.0,Real,28,9,2,2012,Martes
2012-02-29,1157.0,Real,29,9,2,2012,Miércoles
2012-03-01,1201.0,Real,1,9,3,2012,Jueves
2012-03-02,1342.0,Real,2,9,3,2012,Viernes
2012-03-03,358.0,Real,3,9,3,2012,Sábado
2012-03-04,0.0,Real,4,10,3,2012,Domingo
2012-03-05,886.0,Real,5,10,3,2012,Lunes
2012-03-06,1209.0,Real,6,10,3,2012,Martes
2012-03-07,1553.0,Real,7,10,3,2012,Miércoles
2012-03-08,1340.0,Real,8,10,3,2012,Jueves
2012-03-09,1279.0,Real,9,10,3,2012,Viernes
2012-03-10,489.0,Real,10,10,3,2012,Sábado
2012-03-11,1.0,Real,11,11,3,2012,Domingo
2012-03-12,971.0,Real,12,11,3,2012,Lunes
2012-03-13,1305.0,Real,13,11,3,2012,Martes
2012-03-14,1366.0,Real,14,11,3,2012,Miércoles
2012-03-15,1357.0,Real,15,11,3,2012,Jueves
2012-03-16,1461.0,Real,16,11,3,2012,Viernes
2012-03-17,339.0,Real,17,11,3,2012,Sábado
2012-03-18,0.0,Real,18,12,3,2012,Domingo
2012-03-19,0.0,Real,19,12,3,2012,Lunes
2012-03-20,937.0,Real,20,12,3,2012,Martes
2012-03-21,1247.0,Real,21,12,3,2012,Miércoles
2012-03-22,1332.0,Real,22,12,3,2012,Jueves
2012-03-23,1479.0,Real,23,12,3,2012,Viernes
2012-03-24,139.0,Real,24,12,3,2012,Sábado
2012-03-25,32.0,Real,25,13,3,2012,Domingo
2012-03-26,1113.0,Real,26,13,3,2012,Lunes
2012-03-27,1163.0,Real,27,13,3,2012,Martes
2012-03-28,1469.0,Real,28,13,3,2012,Miércoles
2012-03-29,1559.0,Real,29,13,3,2012,Jueves
2012-03-30,1805.0,Real,30,13,3,2012,Viernes
2012-03-31,485.0,Real,31,13,3,2012,Sábado
2012-04-01,1.0,Real,1,14,4,2012,Domingo
2012-04-02,1128.0,Real,2,14,4,2012,Lunes
2012-04-03,1589.0,Real,3,14,4,2012,Martes
2012-04-04,1182.0,Real,4,14,4,2012,Miércoles
2012-04-05,1.0,Real,5,14,4,2012,Jueves
2012-04-06,0.0,Real,6,14,4,2012,Viernes
2012-04-07,1.0,Real,7,14,4,2012,Sábado
2012-04-08,0.0,Real,8,15,4,2012,Domingo
2012-04-09,770.0,Real,9,15,4,2012,Lunes
2012-04-10,1196.0,Real,10,15,4,2012,Martes
2012-04-11,1467.0,Real,11,15,4,2012,Miércoles
2012-04-12,1456.0,Real,12,15,4,2012,Jueves
2012-04-13,1369.0,Real,13,15,4,2012,Viernes
2012-04-14,422.0,Real,14,15,4,2012,Sábado
2012-04-15,0.0,Real,15,16,4,2012,Domingo
2012-04-16,795.0,Real,16,16,4,2012,Lunes
2012-04-17,1067.0,Real,17,16,4,2012,Martes
2012-04-18,1360.0,Real,18,16,4,2012,Miércoles
2012-04-19,1083.0,Real,19,16,4,2012,Jueves
2012-04-20,1443.0,Real,20,16,4,2012,Viernes
2012-04-21,310.0,Real,21,16,4,2012,Sábado
2012-04-22,0.0,Real,22,17,4,2012,Domingo
2012-04-23,965.0,Real,23,17,4,2012,Lunes
2012-04-24,1143.0,Real,24,17,4,2012,Martes
2012-04-25,1361.0,Real,25,17,4,2012,Miércoles
2012-04-26,1264.0,Real,26,17,4,2012,Jueves
2012-04-27,737.0,Real,27,17,4,2012,Viernes
2012-04-28,515.0,Real,28,17,4,2012,Sábado
2012-04-29,34.0,Real,29,18,4,2012,Domingo
2012-04-30,1286.0,Real,30,18,4,2012,Lunes
2012-05-01,3.0,Real,1,18,5,2012,Martes
2012-05-02,965.0,Real,2,18,5,2012,Miércoles
2012-05-03,1228.0,Real,3,18,5,2012,Jueves
2012-05-04,1349.0,Real,4,18,5,2012,Viernes
2012-05-05,375.0,Real,5,18,5,2012,Sábado
2012-05-06,0.0,Real,6,19,5,2012,Domingo
2012-05-07,985.0,Real,7,19,5,2012,Lunes
2012-05-08,1353.0,Real,8,19,5,2012,Martes
2012-05-09,1426.0,Real,9,19,5,2012,Miércoles
2012-05-10,1393.0,Real,10,19,5,2012,Jueves
2012-05-11,1455.0,Real,11,19,5,2012,Viernes
2012-05-12,230.0,Real,12,19,5,2012,Sábado
2012-05-13,1.0,Real,13,20,5,2012,Domingo
2012-05-14,1055.0,Real,14,20,5,2012,Lunes
2012-05-15,1276.0,Real,15,20,5,2012,Martes
2012-05-16,1314.0,Real,16,20,5,2012,Miércoles
2012-05-17,1388.0,Real,17,20,5,2012,Jueves
2012-05-18,1282.0,Real,18,20,5,2012,Viernes
2012-05-19,437.0,Real,19,20,5,2012,Sábado
2012-05-20,15.0,Real,20,21,5,2012,Domingo
2012-05-21,0.0,Real,21,21,5,2012,Lunes
2012-05-22,940.0,Real,22,21,5,2012,Martes
2012-05-23,1045.0,Real,23,21,5,2012,Miércoles
2012-05-24,1198.0,Real,24,21,5,2012,Jueves
2012-05-25,1338.0,Real,25,21,5,2012,Viernes
2012-05-26,436.0,Real,26,21,5,2012,Sábado
2012-05-27,0.0,Real,27,22,5,2012,Domingo
2012-05-28,894.0,Real,28,22,5,2012,Lunes
2012-05-29,1146.0,Real,29,22,5,2012,Martes
2012-05-30,1283.0,Real,30,22,5,2012,Miércoles
2012-05-31,1256.0,Real,31,22,5,2012,Jueves
2012-06-01,1222.0,Real,1,22,6,2012,Viernes
2012-06-02,323.0,Real,2,22,6,2012,Sábado
2012-06-03,1.0,Real,3,23,6,2012,Domingo
2012-06-04,953.0,Real,4,23,6,2012,Lunes
2012-06-05,1156.0,Real,5,23,6,2012,Martes
2012-06-06,1404.0,Real,6,23,6,2012,Miércoles
2012-06-07,1453.0,Real,7,23,6,2012,Jueves
2012-06-08,1460.0,Real,8,23,6,2012,Viernes
2012-06-09,471.0,Real,9,23,6,2012,Sábado
2012-06-10,0.0,Real,10,24,6,2012,Domingo
2012-06-11,0.0,Real,11,24,6,2012,Lunes
2012-06-12,919.0,Real,12,24,6,2012,Martes
2012-06-13,1206.0,Real,13,24,6,2012,Miércoles
2012-06-14,1390.0,Real,14,24,6,2012,Jueves
2012-06-15,1337.0,Real,15,24,6,2012,Viernes
2012-06-16,348.0,Real,16,24,6,2012,Sábado
2012-06-17,30.0,Real,17,25,6,2012,Domingo
